Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Drug,Explanation,Level
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Measles,Rheumatoid Arthritis,Pneumonia,COVID-19,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with fatigue, weight gain, cold intolerance, constipation and dry skin. What is the most likely disease?",Rheumatoid Arthritis,Hypothyroidism,Urinary Tract Infection,Peptic Ulcer,Hypothyroidism,Levothyroxine,Hypothyroidism leads to slowed metabolism.,Hard
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",COVID-19,Migraine,Pneumonia,Epilepsy,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Easy
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Measles,Asthma,Tuberculosis,Urinary Tract Infection,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Moderate
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Hepatitis B,Epilepsy,Peptic Ulcer,Malaria,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Easy
"Patient presents with fever, dry cough, loss of smell, sore throat, shortness of breath. What is the most likely disease?",Measles,Hepatitis B,Hypothyroidism,COVID-19,COVID-19,"Supportive, antivirals in severe cases","COVID-19 commonly presents with fever, cough, anosmia.",Hard
"Patient presents with jaundice, dark urine, fatigue, abdominal pain. What is the most likely disease?",Peptic Ulcer,Rheumatoid Arthritis,Measles,Hepatitis B,Hepatitis B,Tenofovir,Hepatitis B causes jaundice and liver inflammation.,Easy
"Patient presents with polyuria, polydipsia, unexplained weight loss, and fatigue. What is the most likely disease?",Migraine,Appendicitis,Hepatitis B,Diabetes Mellitus,Diabetes Mellitus,Metformin,"Classic triad of diabetes includes polyuria, polydipsia and weight loss.",Moderate
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Measles,Anemia,Tuberculosis,Diabetes Mellitus,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Hard
"Patient presents with polyuria, polydipsia, unexplained weight loss, and fatigue. What is the most likely disease?",Diabetes Mellitus,Anemia,Asthma,Appendicitis,Diabetes Mellitus,Metformin,"Classic triad of diabetes includes polyuria, polydipsia and weight loss.",Moderate
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Rheumatoid Arthritis,Migraine,Dengue,Pneumonia,Dengue,Supportive care,Dengue is viral; management is supportive.,Easy
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Malaria,Rheumatoid Arthritis,Tuberculosis,Urinary Tract Infection,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with pain starting around umbilicus and localizing to right lower abdomen, nausea. What is the most likely disease?",Hepatitis B,Anemia,Hypertension,Appendicitis,Appendicitis,Surgical appendectomy,Appendicitis causes migratory RLQ pain.,Easy
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Typhoid Fever,Hepatitis B,Measles,Urinary Tract Infection,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Moderate
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Hepatitis B,Rheumatoid Arthritis,Typhoid Fever,Hypertension,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Hard
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Hepatitis B,Tuberculosis,Dengue,Malaria,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Hard
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Anemia,Hypertension,Asthma,Peptic Ulcer,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Easy
"Patient presents with polyuria, polydipsia, unexplained weight loss, and fatigue. What is the most likely disease?",Asthma,Pneumonia,Tuberculosis,Diabetes Mellitus,Diabetes Mellitus,Metformin,"Classic triad of diabetes includes polyuria, polydipsia and weight loss.",Hard
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Tuberculosis,Asthma,Dengue,Hypothyroidism,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Easy
"Patient presents with fever, dry cough, loss of smell, sore throat, shortness of breath. What is the most likely disease?",Dengue,Peptic Ulcer,COVID-19,Malaria,COVID-19,"Supportive, antivirals in severe cases","COVID-19 commonly presents with fever, cough, anosmia.",Hard
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Urinary Tract Infection,Epilepsy,Appendicitis,Anemia,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Moderate
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Typhoid Fever,Peptic Ulcer,Epilepsy,Dengue,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Hard
"Patient presents with headache, dizziness, blurred vision, elevated BP readings. What is the most likely disease?",Hepatitis B,Hypertension,Chickenpox,Malaria,Hypertension,Amlodipine,"Hypertension is often asymptomatic but may cause headache, dizziness.",Hard
"Patient presents with pain starting around umbilicus and localizing to right lower abdomen, nausea. What is the most likely disease?",Malaria,Hypertension,Pneumonia,Appendicitis,Appendicitis,Surgical appendectomy,Appendicitis causes migratory RLQ pain.,Hard
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Hepatitis B,Rheumatoid Arthritis,Typhoid Fever,Hypertension,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Hard
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Measles,Tuberculosis,Pneumonia,Migraine,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Hard
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Migraine,Appendicitis,Epilepsy,Anemia,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Moderate
"Patient presents with recurrent unilateral throbbing headache, photophobia, nausea. What is the most likely disease?",Migraine,Urinary Tract Infection,Chickenpox,COVID-19,Migraine,Sumatriptan,Migraine presents with recurrent severe unilateral headache.,Moderate
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Measles,Malaria,Migraine,Tuberculosis,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Hard
"Patient presents with fatigue, weight gain, cold intolerance, constipation and dry skin. What is the most likely disease?",Hypothyroidism,Asthma,Dengue,Chickenpox,Hypothyroidism,Levothyroxine,Hypothyroidism leads to slowed metabolism.,Hard
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Rheumatoid Arthritis,Tuberculosis,Diabetes Mellitus,Hypothyroidism,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Easy
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Asthma,Epilepsy,Pneumonia,Hypertension,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Hard
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Asthma,Urinary Tract Infection,Anemia,Hypertension,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Hard
"Patient presents with pain starting around umbilicus and localizing to right lower abdomen, nausea. What is the most likely disease?",COVID-19,Measles,Appendicitis,Hepatitis B,Appendicitis,Surgical appendectomy,Appendicitis causes migratory RLQ pain.,Easy
"Patient presents with recurrent unilateral throbbing headache, photophobia, nausea. What is the most likely disease?",Dengue,Diabetes Mellitus,Rheumatoid Arthritis,Migraine,Migraine,Sumatriptan,Migraine presents with recurrent severe unilateral headache.,Hard
"Patient presents with polyuria, polydipsia, unexplained weight loss, and fatigue. What is the most likely disease?",Diabetes Mellitus,Anemia,Asthma,Appendicitis,Diabetes Mellitus,Metformin,"Classic triad of diabetes includes polyuria, polydipsia and weight loss.",Moderate
"Patient presents with fatigue, weight gain, cold intolerance, constipation and dry skin. What is the most likely disease?",Diabetes Mellitus,Hypothyroidism,Dengue,Anemia,Hypothyroidism,Levothyroxine,Hypothyroidism leads to slowed metabolism.,Moderate
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Epilepsy,Rheumatoid Arthritis,Urinary Tract Infection,Dengue,Dengue,Supportive care,Dengue is viral; management is supportive.,Easy
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Measles,Rheumatoid Arthritis,Hypertension,Asthma,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Hard
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Chickenpox,Dengue,Measles,Asthma,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Moderate
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Rheumatoid Arthritis,Urinary Tract Infection,Tuberculosis,Migraine,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Hard
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Typhoid Fever,COVID-19,Asthma,Rheumatoid Arthritis,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with fever, cough, coryza, conjunctivitis, Koplik spots, rash. What is the most likely disease?",Tuberculosis,Diabetes Mellitus,Epilepsy,Measles,Measles,Supportive (Vitamin A),"Measles presents with fever, cough, coryza, conjunctivitis and rash.",Moderate
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Urinary Tract Infection,Tuberculosis,Epilepsy,Typhoid Fever,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Moderate
"Patient presents with jaundice, dark urine, fatigue, abdominal pain. What is the most likely disease?",Typhoid Fever,Hepatitis B,Appendicitis,COVID-19,Hepatitis B,Tenofovir,Hepatitis B causes jaundice and liver inflammation.,Easy
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Malaria,Hypertension,Pneumonia,Epilepsy,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Hard
"Patient presents with polyuria, polydipsia, unexplained weight loss, and fatigue. What is the most likely disease?",Appendicitis,Rheumatoid Arthritis,Asthma,Diabetes Mellitus,Diabetes Mellitus,Metformin,"Classic triad of diabetes includes polyuria, polydipsia and weight loss.",Moderate
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Typhoid Fever,Asthma,Chickenpox,Tuberculosis,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Moderate
"Patient presents with fever, cough, coryza, conjunctivitis, Koplik spots, rash. What is the most likely disease?",Urinary Tract Infection,Appendicitis,Measles,Diabetes Mellitus,Measles,Supportive (Vitamin A),"Measles presents with fever, cough, coryza, conjunctivitis and rash.",Moderate
"Patient presents with jaundice, dark urine, fatigue, abdominal pain. What is the most likely disease?",Hepatitis B,Hypothyroidism,Chickenpox,Tuberculosis,Hepatitis B,Tenofovir,Hepatitis B causes jaundice and liver inflammation.,Moderate
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Typhoid Fever,Pneumonia,Diabetes Mellitus,COVID-19,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Hard
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Asthma,Dengue,Chickenpox,Tuberculosis,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Easy
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Pneumonia,Typhoid Fever,Asthma,Epilepsy,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Hard
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Peptic Ulcer,Hepatitis B,Dengue,Tuberculosis,Dengue,Supportive care,Dengue is viral; management is supportive.,Moderate
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Measles,Malaria,Hypothyroidism,Peptic Ulcer,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Moderate
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Malaria,Urinary Tract Infection,Peptic Ulcer,Rheumatoid Arthritis,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Hard
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Hepatitis B,Tuberculosis,Dengue,Malaria,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Hard
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Malaria,Urinary Tract Infection,Peptic Ulcer,Rheumatoid Arthritis,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Hard
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Rheumatoid Arthritis,Migraine,Dengue,Pneumonia,Dengue,Supportive care,Dengue is viral; management is supportive.,Easy
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Peptic Ulcer,Epilepsy,Anemia,Malaria,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Moderate
"Patient presents with fever, cough, coryza, conjunctivitis, Koplik spots, rash. What is the most likely disease?",Pneumonia,Hepatitis B,Appendicitis,Measles,Measles,Supportive (Vitamin A),"Measles presents with fever, cough, coryza, conjunctivitis and rash.",Hard
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Hepatitis B,Tuberculosis,Dengue,Malaria,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Hard
"Patient presents with headache, dizziness, blurred vision, elevated BP readings. What is the most likely disease?",COVID-19,Rheumatoid Arthritis,Hypertension,Anemia,Hypertension,Amlodipine,"Hypertension is often asymptomatic but may cause headache, dizziness.",Hard
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Typhoid Fever,Appendicitis,Malaria,Epilepsy,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Easy
"Patient presents with headache, dizziness, blurred vision, elevated BP readings. What is the most likely disease?",Hypertension,Rheumatoid Arthritis,Anemia,Tuberculosis,Hypertension,Amlodipine,"Hypertension is often asymptomatic but may cause headache, dizziness.",Moderate
"Patient presents with pain starting around umbilicus and localizing to right lower abdomen, nausea. What is the most likely disease?",COVID-19,Measles,Appendicitis,Hepatitis B,Appendicitis,Surgical appendectomy,Appendicitis causes migratory RLQ pain.,Easy
"Patient presents with polyuria, polydipsia, unexplained weight loss, and fatigue. What is the most likely disease?",Chickenpox,Diabetes Mellitus,Malaria,Hepatitis B,Diabetes Mellitus,Metformin,"Classic triad of diabetes includes polyuria, polydipsia and weight loss.",Hard
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Measles,Anemia,Tuberculosis,Diabetes Mellitus,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Hard
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Migraine,Asthma,Diabetes Mellitus,Hypertension,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Hard
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Measles,Hypertension,Rheumatoid Arthritis,Pneumonia,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Hard
"Patient presents with polyuria, polydipsia, unexplained weight loss, and fatigue. What is the most likely disease?",Appendicitis,Rheumatoid Arthritis,Asthma,Diabetes Mellitus,Diabetes Mellitus,Metformin,"Classic triad of diabetes includes polyuria, polydipsia and weight loss.",Moderate
"Patient presents with epigastric pain, worse on empty stomach, relieved by food. What is the most likely disease?",Peptic Ulcer,Urinary Tract Infection,Dengue,Rheumatoid Arthritis,Peptic Ulcer,Omeprazole,Peptic ulcer causes epigastric burning related to meals.,Easy
"Patient presents with fever, cough, coryza, conjunctivitis, Koplik spots, rash. What is the most likely disease?",Anemia,Hypothyroidism,Urinary Tract Infection,Measles,Measles,Supportive (Vitamin A),"Measles presents with fever, cough, coryza, conjunctivitis and rash.",Hard
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Appendicitis,Epilepsy,Tuberculosis,Malaria,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Easy
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Epilepsy,Asthma,Anemia,Diabetes Mellitus,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Hard
"Patient presents with fatigue, weight gain, cold intolerance, constipation and dry skin. What is the most likely disease?",Rheumatoid Arthritis,Hypothyroidism,Measles,Tuberculosis,Hypothyroidism,Levothyroxine,Hypothyroidism leads to slowed metabolism.,Easy
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Diabetes Mellitus,Peptic Ulcer,Hepatitis B,Epilepsy,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Moderate
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Typhoid Fever,Appendicitis,Malaria,Epilepsy,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Easy
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Measles,Tuberculosis,Pneumonia,Migraine,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Hard
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Hypertension,Urinary Tract Infection,Peptic Ulcer,Pneumonia,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Easy
"Patient presents with fever, dry cough, loss of smell, sore throat, shortness of breath. What is the most likely disease?",Dengue,Peptic Ulcer,COVID-19,Malaria,COVID-19,"Supportive, antivirals in severe cases","COVID-19 commonly presents with fever, cough, anosmia.",Hard
"Patient presents with recurrent unilateral throbbing headache, photophobia, nausea. What is the most likely disease?",Epilepsy,Hepatitis B,Urinary Tract Infection,Migraine,Migraine,Sumatriptan,Migraine presents with recurrent severe unilateral headache.,Moderate
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Measles,Anemia,Tuberculosis,Diabetes Mellitus,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Hard
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Diabetes Mellitus,Tuberculosis,Appendicitis,Hypothyroidism,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Moderate
"Patient presents with polyuria, polydipsia, unexplained weight loss, and fatigue. What is the most likely disease?",Malaria,Diabetes Mellitus,Hepatitis B,Anemia,Diabetes Mellitus,Metformin,"Classic triad of diabetes includes polyuria, polydipsia and weight loss.",Hard
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Chickenpox,Diabetes Mellitus,Anemia,Asthma,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Moderate
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Typhoid Fever,Anemia,Urinary Tract Infection,Peptic Ulcer,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Moderate
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Hypothyroidism,Diabetes Mellitus,Pneumonia,Peptic Ulcer,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Hard
"Patient presents with fever, cough, coryza, conjunctivitis, Koplik spots, rash. What is the most likely disease?",Anemia,Hypothyroidism,Urinary Tract Infection,Measles,Measles,Supportive (Vitamin A),"Measles presents with fever, cough, coryza, conjunctivitis and rash.",Hard
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Hepatitis B,Typhoid Fever,Dengue,Measles,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Moderate
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Pneumonia,Dengue,Migraine,Rheumatoid Arthritis,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Measles,Rheumatoid Arthritis,Pneumonia,COVID-19,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with recurrent unilateral throbbing headache, photophobia, nausea. What is the most likely disease?",Epilepsy,Hepatitis B,Urinary Tract Infection,Migraine,Migraine,Sumatriptan,Migraine presents with recurrent severe unilateral headache.,Moderate
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Asthma,Peptic Ulcer,Hypertension,Migraine,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Hard
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Rheumatoid Arthritis,Diabetes Mellitus,Typhoid Fever,Hepatitis B,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Easy
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Rheumatoid Arthritis,Anemia,Asthma,Chickenpox,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Typhoid Fever,Appendicitis,Malaria,Epilepsy,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Easy
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Hepatitis B,Dengue,Malaria,Asthma,Dengue,Supportive care,Dengue is viral; management is supportive.,Easy
"Patient presents with fever, itchy vesicular rash, lesions in different stages. What is the most likely disease?",Chickenpox,Dengue,Rheumatoid Arthritis,Malaria,Chickenpox,Supportive (Acyclovir if severe),Chickenpox shows vesicles in crops at different stages.,Easy
"Patient presents with pain starting around umbilicus and localizing to right lower abdomen, nausea. What is the most likely disease?",COVID-19,Measles,Appendicitis,Hepatitis B,Appendicitis,Surgical appendectomy,Appendicitis causes migratory RLQ pain.,Easy
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Pneumonia,Peptic Ulcer,COVID-19,Hypothyroidism,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Easy
"Patient presents with fever, dry cough, loss of smell, sore throat, shortness of breath. What is the most likely disease?",Measles,Hepatitis B,Hypothyroidism,COVID-19,COVID-19,"Supportive, antivirals in severe cases","COVID-19 commonly presents with fever, cough, anosmia.",Hard
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Chickenpox,Pneumonia,Measles,COVID-19,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Moderate
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Peptic Ulcer,Rheumatoid Arthritis,Anemia,Hepatitis B,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Moderate
"Patient presents with headache, dizziness, blurred vision, elevated BP readings. What is the most likely disease?",Dengue,Hypertension,Diabetes Mellitus,Epilepsy,Hypertension,Amlodipine,"Hypertension is often asymptomatic but may cause headache, dizziness.",Easy
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Hypertension,Diabetes Mellitus,Rheumatoid Arthritis,Chickenpox,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Anemia,Hypertension,Asthma,Peptic Ulcer,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Easy
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Migraine,Appendicitis,Epilepsy,Anemia,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Moderate
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",COVID-19,Diabetes Mellitus,Epilepsy,Asthma,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Moderate
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Malaria,Hypertension,Pneumonia,Epilepsy,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Hard
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Malaria,Rheumatoid Arthritis,Tuberculosis,Urinary Tract Infection,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Diabetes Mellitus,Malaria,Rheumatoid Arthritis,Dengue,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with fatigue, weight gain, cold intolerance, constipation and dry skin. What is the most likely disease?",Diabetes Mellitus,Hypothyroidism,Dengue,Anemia,Hypothyroidism,Levothyroxine,Hypothyroidism leads to slowed metabolism.,Moderate
"Patient presents with pain starting around umbilicus and localizing to right lower abdomen, nausea. What is the most likely disease?",Rheumatoid Arthritis,Dengue,Chickenpox,Appendicitis,Appendicitis,Surgical appendectomy,Appendicitis causes migratory RLQ pain.,Moderate
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Epilepsy,Asthma,Anemia,Diabetes Mellitus,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Hard
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Typhoid Fever,Epilepsy,Hypothyroidism,Dengue,Dengue,Supportive care,Dengue is viral; management is supportive.,Easy
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Epilepsy,Malaria,COVID-19,Rheumatoid Arthritis,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Moderate
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Chickenpox,Typhoid Fever,Malaria,Dengue,Dengue,Supportive care,Dengue is viral; management is supportive.,Easy
"Patient presents with jaundice, dark urine, fatigue, abdominal pain. What is the most likely disease?",Dengue,Asthma,Hepatitis B,Measles,Hepatitis B,Tenofovir,Hepatitis B causes jaundice and liver inflammation.,Hard
